tx	gene_id	control_rep1	control_rep2	control_rep3	treatment_rep1	treatment_rep2	treatment_rep3
ENST00000624081	ENSG00000279493	263.024	263.099	263.038	263.13	263.044	262.983
ENST00000612610	ENSG00000277117	912.022	912.098	912.037	912.128	912.043	911.982
ENST00000620481	ENSG00000277117	566.022	566.098	566.037	566.128	566.043	565.982
ENST00000623960	ENSG00000277117	3024.022	3024.098	3024.037	3024.128	3024.043	3023.982
ENST00000623903	ENSG00000277117	748.022	748.098	748.037	748.128	748.043	747.982
ENST00000623795	ENSG00000277117	1988.022	1988.098	1988.037	1988.128	1988.043	1987.982
ENST00000624810	ENSG00000280071	161.025	161.099	161.039	161.13	161.044	160.984
ENST00000625036	ENSG00000280071	68.261	68.328	68.268	68.354	68.287	68.214
ENST00000620015	ENSG00000280071	1185.022	1185.098	1185.037	1185.128	1185.043	1184.982
ENST00000620528	ENSG00000280071	1390.022	1390.098	1390.037	1390.128	1390.043	1389.982
ENST00000624120	ENSG00000280071	648.022	648.098	648.037	648.128	648.043	647.982
ENST00000624748	ENSG00000280071	434.022	434.098	434.037	434.128	434.043	433.982
ENST00000624648	ENSG00000280071	446.022	446.098	446.037	446.128	446.043	445.982
ENST00000623810	ENSG00000280071	531.022	531.098	531.037	531.128	531.043	530.982
ENST00000624714	ENSG00000280071	557.022	557.098	557.037	557.128	557.043	556.982
ENST00000623390	ENSG00000280071	202.025	202.099	202.039	202.13	202.044	201.984
ENST00000622915	ENSG00000280071	294.023	294.098	294.038	294.129	294.043	293.983
ENST00000623476	ENSG00000276612	1349.022	1349.098	1349.037	1349.128	1349.043	1348.982
ENST00000617716	ENSG00000275464	3014.022	3014.098	3014.037	3014.128	3014.043	3013.982
ENST00000632537	ENSG00000275464	462.022	462.098	462.037	462.128	462.043	461.982
ENST00000623011	ENSG00000275464	4314.022	4314.098	4314.037	4314.128	4314.043	4313.982
ENST00000624312	ENSG00000275464	299.023	299.098	299.037	299.129	299.043	298.983
ENST00000633442	ENSG00000275464	266.024	266.099	266.038	266.13	266.044	265.983
ENST00000633593	ENSG00000275464	173.025	173.099	173.039	173.13	173.044	172.984
